12/04/2022 13:06,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011001110,00000000000000000000100110001011,00000000000000000000100100000110
12/04/2022 13:06,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100011110111,00000000000000000000100011010000,00000000000000000000100110001011,00000000000000000000100100000110
12/04/2022 13:06,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000001000100101011,00000000000000000000100011010010,00000000000000000000100110010101,00000000000000000000100100000110
12/04/2022 13:06,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100010010101,00000000000000000000100011010010,00000000000000000000100110011111,00000000000000000000100100000110
12/04/2022 13:07,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100010010101,00000000000000000000100011010011,00000000000000000000100110011111,00000000000000000000100100000110
12/04/2022 13:07,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100011110111,00000000000000000000100011010100,00000000000000000000100110010101,00000000000000000000100100000110
12/04/2022 13:07,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000001000101011011,00000000000000000000100011010001,00000000000000000000100110001011,00000000000000000000100100000110
12/04/2022 13:07,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011010100,00000000000000000000100110001011,00000000000000000000100100000110
12/04/2022 13:07,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000011111010010,00000000000000000000100011010100,00000000000000000000100110011111,00000000000000000000100100000110
12/04/2022 13:08,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000111000011101,00000000000000000000100011010101,00000000000000000000100110011111,00000000000000000000100100010000
12/04/2022 13:08,00000000000000000000100110001100,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011010110,00000000000000000000100110011111,00000000000000000000100100010000
12/04/2022 13:08,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000100000110100,00000000000000000000100011010110,00000000000000000000100110010101,00000000000000000000100100010000
12/04/2022 13:08,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000011111010010,00000000000000000000100011010110,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:08,00000000000000000000100110010010,00000000000000000000100011111100,00000000000000000000100000110100,00000000000000000000100011010111,00000000000000000000100110010101,00000000000000000000100100010000
12/04/2022 13:08,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100110001001,00000000000000000000100011011000,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100011000110,00000000000000000000100011010111,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100000000011,00000000000000000000100011011000,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000110011000111,00000000000000000000100011011000,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000101001001101,00000000000000000000100011011001,00000000000000000000100110000001,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011011001,00000000000000000000100110000001,00000000000000000000100100010000
12/04/2022 13:09,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000111001001110,00000000000000000000100011011010,00000000000000000000100110000001,00000000000000000000100100010000
12/04/2022 13:10,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000101001001101,00000000000000000000100011011010,00000000000000000000100110000001,00000000000000000000100100010000
12/04/2022 13:10,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100000110100,00000000000000000000100011100000,00000000000000000000100110001011,00000000000000000000100100010000
12/04/2022 13:10,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011100010,00000000000000000000100110010101,00000000000000000000100100011010
12/04/2022 13:10,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000001000111101110,00000000000000000000100011100010,00000000000000000000100110010101,00000000000000000000100100011010
12/04/2022 13:10,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000001000001100111,00000000000000000000100011100001,00000000000000000000100110001011,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000110110111100,00000000000000000000100011100000,00000000000000000000100110000001,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000100001100100,00000000000000000000100011100000,00000000000000000000100110000001,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011000,00000000000000000000100011111100,00000000000000000000110000110101,00000000000000000000100011100000,00000000000000000000100110000001,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000100000000011,00000000000000000000100011100001,00000000000000000000100110001011,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000101001001101,00000000000000000000100011100001,00000000000000000000100110001011,00000000000000000000100100011010
12/04/2022 13:11,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000001001010110001,00000000000000000000100011100011,00000000000000000000100110101001,00000000000000000000100100011010
12/04/2022 13:12,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000100000000011,00000000000000000000100011100100,00000000000000000000100110101001,00000000000000000000100100011010
12/04/2022 13:12,00000000000000000000100110100101,00000000000000000000100011111100,00000000000000000000110011000111,00000000000000000000100011100110,00000000000000000000100110001011,00000000000000000000100100011010
12/04/2022 13:12,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000001000110001100,00000000000000000000100011101001,00000000000000000000100110001011,00000000000000000000100100011010
12/04/2022 13:12,00000000000000000000100110011110,00000000000000000000100011111100,00000000000000000000100000000011,00000000000000000000100011100111,00000000000000000000100110000001,00000000000000000000100100011010
12/04/2022 13:12,00000000000000000000100110100101,00000000000000000000100011111100,00000000000000000000110001100110,00000000000000000000100011101000,00000000000000000000100110101001,00000000000000000000100100011010
